"code","name","is_reverse"
"AG.LND.IRIG.AG.ZS ","Agricultural irrigated land (% of total agricultural land)",
"AG.LND.AGRI.ZS ","Agricultural land (% of land area)",
"AG.LND.TRAC.ZS ","Agricultural machinery, tractors per 100 sq. km of arable land",
"NV.AGR.TOTL.ZS ","Agriculture, value added (% of GDP)",
"AG.LND.ARBL.ZS ","Arable land (% of land area)",
"AG.LND.ARBL.HA.PC ","Arable land (hectares per person)",
"AG.YLD.CREL.KG ","Cereal yield (kg per hectare)",
"AG.PRD.CROP.XD ","Crop production index (2004-2006 = 100)",
"SL.AGR.EMPL.FE.ZS ","Employment in agriculture, female (% of female employment) (modeled ILO estimate)",
"SL.AGR.EMPL.MA.ZS ","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",
"AG.CON.FERT.ZS ","Fertilizer consumption (kilograms per hectare of arable land)",
"AG.PRD.FOOD.XD ","Food production index (2004-2006 = 100)",
"AG.LND.FRST.ZS ","Forest area (% of land area)",
"AG.LND.FRST.K2 ","Forest area (sq. km)",
"AG.LND.TOTL.K2 ","Land area (sq. km)",
"AG.LND.CREL.HA ","Land under cereal production (hectares)",
,,
"AG.LND.CROP.ZS ","Permanent cropland (% of land area)",
"SP.RUR.TOTL ","Rural population",
"SP.RUR.TOTL.ZS ","Rural population (% of total population)",
"SI.POV.RUGP ","Rural poverty gap at national poverty lines (%)",
"SI.POV.RUHC ","Rural poverty headcount ratio at national poverty lines (% of rural population)",
"AG.SRF.TOTL.K2 ","Surface area (sq. km)",
"BX.GRT.EXTA.CD.WD ","Grants, excluding technical cooperation (BoP, current US$)",
"SH.TBS.INCD ","Incidence of tuberculosis (per 100,000 people)",
"SI.DST.FRST.20 ","Income share held by lowest 20%",
"SH.STA.MMRT ","Maternal mortality ratio (modeled estimate, per 100,000 live births)",
"SH.DYN.MORT ","Mortality rate, under-5 (per 1,000 live births)",
"DT.ODA.ODAT.GN.ZS ","Net ODA received (% of GNI)",
"DT.ODA.ODAT.XP.ZS ","Net ODA received (% of central government expense)",
"DT.ODA.ODAT.GI.ZS ","Net ODA received (% of gross capital formation)",
"DT.ODA.ODAT.MP.ZS ","Net ODA received (% of imports of goods, services and primary income)",
"DT.ODA.ODAT.PC.ZS ","Net ODA received per capita (current US$)",
"SM.POP.NETM ","Net migration",
"DT.ODA.ODAT.CD ","Net official development assistance received (current US$)",
"SI.POV.DDAY ","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)",
"SH.STA.ANVC.ZS ","Pregnant women receiving prenatal care (%)",
"SH.DYN.AIDS.ZS ","Prevalence of HIV, total (% of population ages 15-49)",
"SH.STA.STNT.ZS ","Prevalence of stunting, height for age (% of children under 5)",
"SE.PRM.CMPT.ZS ","Primary completion rate, total (% of relevant age group)",
,,
"BX.GRT.TECH.CD.WD ","Technical cooperation grants (BoP, current US$)",
"EG.ELC.ACCS.ZS ","Access to electricity (% of population)",
"AG.LND.IRIG.AG.ZS ","Agricultural irrigated land (% of total agricultural land)",
"AG.LND.AGRI.ZS ","Agricultural land (% of land area)",
"NV.AGR.TOTL.ZS ","Agriculture, value added (% of GDP)",
"ER.H2O.FWTL.ZS ","Annual freshwater withdrawals, total (% of internal resources)",
"ER.H2O.FWTL.K3 ","Annual freshwater withdrawals, total (billion cubic meters)",
"AG.LND.ARBL.ZS ","Arable land (% of land area)",
"EN.ATM.CO2E.KT ","CO2 emissions (kt)",
"EN.ATM.CO2E.PC ","CO2 emissions (metric tons per capita)",
"IQ.CPA.PUBS.XQ ","CPIA public sector management and institutions cluster average (1=low to 6=high)",
"AG.YLD.CREL.KG ","Cereal yield (kg per hectare)",
,,
"EG.USE.ELEC.KH.PC ","Electric power consumption (kWh per capita)",
"EG.USE.PCAP.KG.OE ","Energy use (kg of oil equivalent per capita)",
"AG.LND.FRST.ZS ","Forest area (% of land area)",
"AG.LND.FRST.K2 ","Forest area (sq. km)",
"AG.LND.EL5M.ZS ","Land area where elevation is below 5 meters (% of total land area)",
"EN.ATM.METH.KT.CE ","Methane emissions (kt of CO2 equivalent)",
"SH.DYN.MORT ","Mortality rate, under-5 (per 1,000 live births)",
"EN.ATM.NOXE.KT.CE ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)",
"SP.POP.GROW ","Population growth (annual %)",
"EN.URB.MCTY.TL.ZS ","Population in urban agglomerations of more than 1 million (% of total population)",
"EN.POP.EL5M.ZS ","Population living in areas where elevation is below 5 meters (% of total population)",
"SP.POP.TOTL ","Population, total",
"SI.POV.DDAY ","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)",
"SH.STA.MALN.ZS ","Prevalence of underweight, weight for age (% of children under 5)",
"SE.PRM.CMPT.ZS ","Primary completion rate, total (% of relevant age group)",
"EG.ELC.RNEW.ZS ","Renewable electricity output (% of total electricity output)",
"EG.FEC.RNEW.ZS ","Renewable energy consumption (% of total final energy consumption)",
,,
"ER.PTD.TOTL.ZS ","Terrestrial and marine protected areas (% of total territorial area)",
"EN.ATM.GHGT.KT.CE ","Total greenhouse gas emissions (kt of CO2 equivalent)",
"SP.URB.TOTL ","Urban population",
"SP.URB.TOTL.IN.ZS ","Urban population (% of total)",
"NY.ADJ.SVNG.GN.ZS ","Adjusted net savings, including particulate emission damage (% of GNI)",
"NV.AGR.TOTL.ZS ","Agriculture, value added (% of GDP)",
"GC.DOD.TOTL.GD.ZS ","Central government debt, total (% of GDP)",
"BM.GSR.ROYL.CD ","Charges for the use of intellectual property, payments (BoP, current US$)",
"BX.GSR.ROYL.CD ","Charges for the use of intellectual property, receipts (BoP, current US$)",
"BN.CAB.XOKA.CD ","Current account balance (BoP, current US$)",
"GC.XPN.TOTL.GD.ZS ","Expense (% of GDP)",
"NE.EXP.GNFS.ZS ","Exports of goods and services (% of GDP)",
"DT.DOD.DECT.GN.ZS ","External debt stocks (% of GNI)",
"DT.DOD.DECT.CD ","External debt stocks, total (DOD, current US$)",
"BX.KLT.DINV.CD.WD ","Foreign direct investment, net inflows (BoP, current US$)",
"NY.GDP.MKTP.CD ","GDP (current US$)",
"NY.GDP.MKTP.KD.ZG ","GDP growth (annual %)",
"NY.GDP.PCAP.CD ","GDP per capita (current US$)",
"NY.GDP.PCAP.KD.ZG ","GDP per capita growth (annual %)",
"NY.GDP.PCAP.PP.CD ","GDP per capita, PPP (current international $)",
"NY.GNP.PCAP.CD ","GNI per capita, Atlas method (current US$)",
"NY.GNP.PCAP.PP.CD ","GNI per capita, PPP (current international $)",
"NY.GNP.ATLS.CD ","GNI, Atlas method (current US$)",
"NY.GNP.MKTP.PP.CD ","GNI, PPP (current international $)",
"BX.GRT.EXTA.CD.WD ","Grants, excluding technical cooperation (BoP, current US$)",
"NE.GDI.TOTL.ZS ","Gross capital formation (% of GDP)",
"NY.GNS.ICTR.ZS ","Gross savings (% of GDP)",
"NE.IMP.GNFS.ZS ","Imports of goods and services (% of GDP)",
"NV.IND.TOTL.ZS ","Industry, value added (% of GDP)",
"NY.GDP.DEFL.KD.ZG ","Inflation, GDP deflator (annual %)",
"FP.CPI.TOTL.ZG ","Inflation, consumer prices (annual %)",
"DT.ODA.ODAT.GN.ZS ","Net ODA received (% of GNI)",
"DT.ODA.ODAT.PC.ZS ","Net ODA received per capita (current US$)",
"DT.ODA.ODAT.CD ","Net official development assistance received (current US$)",
"PA.NUS.PPP ","PPP conversion factor, GDP (LCU per international $)",
"BX.TRF.PWKR.CD.DT ","Personal remittances, received (current US$)",
"PA.NUS.PPPC.RF ","Price level ratio of PPP conversion factor (GDP) to market exchange rate",
"GC.REV.XGRT.GD.ZS ","Revenue, excluding grants (% of GDP)",
"NV.SRV.TETC.ZS ","Services, etc., value added (% of GDP)",
"DT.DOD.DSTC.IR.ZS ","Short-term debt (% of total reserves)",
"BX.GRT.TECH.CD.WD ","Technical cooperation grants (BoP, current US$)",
"DT.TDS.DECT.EX.ZS ","Total debt service (% of exports of goods, services and primary income)",
"FI.RES.TOTL.CD ","Total reserves (includes gold, current US$)",
"SE.PRM.UNER.FE ","Children out of school, primary, female",
"SE.PRM.UNER.MA ","Children out of school, primary, male",
"SE.XPD.TOTL.GB.ZS ","Expenditure on education as % of total government expenditure (%)",
"SE.XPD.TOTL.GD.ZS ","Government expenditure on education, total (% of GDP)",
"SE.XPD.PRIM.PC.ZS ","Government expenditure per student, primary (% of GDP per capita)",
"SE.XPD.SECO.PC.ZS ","Government expenditure per student, secondary (% of GDP per capita)",
"SE.XPD.TERT.PC.ZS ","Government expenditure per tertiary student as % of GDP per capita (%)",
"SE.PRM.ENRR ","Gross enrollment ratio, primary, both sexes (%)",
"SE.PRE.ENRR ","Gross enrolment ratio, pre-primary, both sexes (%)",
"SE.SEC.ENRR ","Gross enrolment ratio, secondary, both sexes (%)",
"SE.TER.ENRR ","Gross enrolment ratio, tertiary, both sexes (%)",
"SE.PRM.GINT.FE.ZS ","Gross intake ratio to Grade 1 of primary education, female (%)",
"SE.PRM.GINT.MA.ZS ","Gross intake ratio to Grade 1 of primary education, male (%)",
"SL.TLF.TOTL.FE.ZS ","Labor force, female (% of total labor force)",
"SL.TLF.TOTL.IN ","Labor force, total",
"SE.ADT.LITR.FE.ZS ","Literacy rate, adult female (% of females ages 15 and above)",
"SE.ADT.LITR.MA.ZS ","Literacy rate, adult male (% of males ages 15 and above)",
"SE.ADT.LITR.ZS ","Literacy rate, adult total (% of people ages 15 and above)",
"SE.ADT.1524.LT.FE.ZS ","Literacy rate, youth female (% of females ages 15-24)",
"SE.ADT.1524.LT.MA.ZS ","Literacy rate, youth male (% of males ages 15-24)",
"SE.ADT.1524.LT.ZS ","Literacy rate, youth total (% of people ages 15-24)",
"SE.SEC.NENR ","Net enrolment rate, secondary, both sexes (%)",
"SE.PRM.REPT.FE.ZS ","Percentage of repeaters in primary education, all grades, female (%)",
"SE.PRM.REPT.MA.ZS ","Percentage of repeaters in primary education, all grades, male (%)",
"SE.PRM.TCAQ.ZS ","Percentage of teachers in primary education who are trained, both sexes (%)",
"SE.PRM.PRSL.FE.ZS ","Persistence to last grade of primary, female (% of cohort)",
"SE.PRM.PRSL.MA.ZS ","Persistence to last grade of primary, male (% of cohort)",
"SP.POP.0014.TO.ZS ","Population ages 0-14 (% of total)",
"SP.POP.1564.TO.ZS ","Population ages 15-64 (% of total)",
"SE.PRM.CMPT.FE.ZS ","Primary completion rate, female (% of relevant age group)",
"SE.PRM.CMPT.MA.ZS ","Primary completion rate, male (% of relevant age group)",
"SE.PRM.CMPT.ZS ","Primary completion rate, total (% of relevant age group)",
"SE.SEC.PROG.FE.ZS ","Progression to secondary school, female (%)",
"SE.SEC.PROG.MA.ZS ","Progression to secondary school, male (%)",
"SE.PRM.ENRL.TC.ZS ","Pupil-teacher ratio in primary education (headcount basis)",
"SE.PRM.NENR ","School enrollment, primary (% net)",
,,
,,
"SL.UEM.TOTL.FE.ZS ","Unemployment, female (% of female labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.MA.ZS ","Unemployment, male (% of male labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.ZS ","Unemployment, total (% of total labor force) (modeled ILO estimate)",
"EG.ELC.ACCS.ZS ","Access to electricity (% of population)",
"EG.USE.COMM.CL.ZS ","Alternative and nuclear energy (% of total energy use)",
"EG.USE.ELEC.KH.PC ","Electric power consumption (kWh per capita)",
"EG.IMP.CONS.ZS ","Energy imports, net (% of energy use)",
"EG.EGY.PRIM.PP.KD ","Energy intensity level of primary energy (MJ/$2011 PPP GDP)",
"EG.USE.PCAP.KG.OE ","Energy use (kg of oil equivalent per capita)",
