"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","67.72","69.25","67.6","73.52","76.1","74.83","83.47","85.48","87.83","79.57","71.59","84.36","91.71","95.4","98.18","103.45","86.7","96.66","93.48","91.23","88.72","86.12","83.77","81.98","78.54","75.05","75.58","71.94","68.93","68.7","75.36","70.9","75.92","78.42","80.03","81.19","85.17","89.58","82.79","68.48","71.16","87.11","97.46","86.59","109.39","104.02","122.09","103.3","132.08","126.61","114.58","135.37","134.98","142.51","","","",
"Angola","AGO","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","40.61","43.32","42.12","45.36","46.88","48.79","50.02","48.73","52.41","53.39","54.74","52.31","53.62","54.25","45.61","37.94","35.74","34","30.94","31.1","28.33","28.35","28.47","28.75","28.71","30.03","30.42","30.38","30.08","29.27","31.27","33.26","32.38","39.91","39.26","39.77","38.16","46.56","43.13","52.53","62.98","74.35","81.78","93.29","101.68","105.03","120.64","129.79","171.57","181.51","201.11","158.45","227.3","189.08","","","",
"Albania","ALB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","37.59","41.48","40.21","48.35","43.41","51.76","51.31","53.29","54.55","56.46","57.9","61.16","66.75","68.07","69.45","77.04","81.53","82.68","85.29","80.19","83.86","88.13","98.63","90.14","90.08","91.03","92.58","79.01","93.87","84.28","61.36","67.47","79.4","79.37","81.57","80.31","82.74","89.27","81.89","86.03","88.82","86.34","91.21","97.85","97.35","104.8","102.01","118.97","127.52","140.15","148.84","160.72","159.34","163.78","","","",
"Andorra","AND","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","25.3398697390557","29.6809544952834","30.4387022689345","30.599814851185","32.0303779576273","28.3533744080151","30.58765405762","33.4871891125918","32.8221495458242","33.0781820676719","36.8843675325786","37.1740197837573","34.8356718259554","39.1130868707868","40.0296455197158","40.4111001912403","38.4060368873716","41.0565378586198","40.8349923473584","44.4908223641949","43.6760219119589","45.2613962180919","45.9438662632059","45.9040330528218","52.7594300124478","55.7440123732969","54.5437727176664","57.9725888379312","57.0780650712188","60.4191230558967","64.6626075449727","66.4082483009535","66.8596713004706","68.444742650637","67.8131518729181","82.4388232467358","74.9375695653733","81.1541131120317","80.7521937111619","81.0848027162963","82.7082922916759","88.5833131425428","94.3024559175364","96.2988661429936","98.4236923892503","105.277441467756","99.1833839065383","101.289118301623","108.979698470105","105.195811112316","110.399241795844","110.661395109066","114.721954192718","112.768751204419","","","",
"United Arab Emirates","ARE","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","0.85","0.91","0.97","1.03","1.04","1.4","1.52","1.68","1.95","2.26","2.56","2.25","2.67","4.34","4.56","5.3","6.31","8.77","10.68","12.32","14.06","18.29","20.76","18.57","18.98","18.91","18.08","23.92","28.8","29.8","38.62","51.14","54.41","57.81","70.4","75.85","97.93","98.77","163.44","200.86","113.26","105.68","94.67","105.81","103.55","90.64","90.36","97.34","92.94","99.12","39.28","34.55","36.42","40.07","","","",
"Argentina","ARG","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","25.69","26.33","29.13","30.93","28.09","29.65","33.65","28.81","30.75","33.61","35.14","31.64","35.91","40.9","38.92","41.76","41.62","44.96","46.9","41.43","46.83","53.75","52.2","54.19","51.76","51.61","50.8","55.88","46.3","53.12","56.99","58.01","54.57","58.54","66.09","63.18","71.32","82.99","80.13","81.29","86.79","88.18","92.21","90.66","106.07","103.27","117.68","119.22","84.62","119.3","127.03","110.27","123.45","129.89","","","",
"Armenia","ARM","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.24","58.65","72.33","70.64","73.55","57.04","64.12","62.47","58.94","63.44","63.04","68.87","85.22","105.47","109.31","124.07","118.33","119.51","96.52","120.28","136.56","141.16","143.23","","","",
"American Samoa","ASM","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","60.21","63.41","67.99","65.44","62.51","64.3","70.04","71.35","78.41","74.73","68.65","67.48","66.47","62.4","61.17","57.49","55.97","52.63","44.11","49.11","48.8","48.9","47.47","45.05","43.51","44.58","41.07","41.01","40.8","44.96","42.03","44.64","49.75","53.63","56.7","61.02","64.21","84.88","66.25","74.87","86.05","90.68","100.83","97.05","100.56","102.39","104.25","106.59","109.46","111.33","109.8","105.91","114.61","113.59","","","",
