"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","54.2","54.86","54.83","59.32","62.16","64.32","70.44","73.56","74.62","67.96","63.06","68.45","73.81","76.27","78.49","84","75.08","81.19","80.2","80.1","79.91","79.04","77.24","74.33","69.44","63.35","65.7","64.73","64.35","69.39","73.16","70.94","75.68","80.77","84.85","90.04","96.75","103.06","101.85","85.42","76.81","95.34","98.78","95.89","106.38","97.73","109.34","100.86","117.5","116.67","111.51","122.92","120.11","124.69","","","",
"Angola","AGO","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","28.94","29.97","30.39","31.77","32.6","33.21","34.11","34.39","36.58","38.38","38.44","36.95","39.15","38.3","36.93","36.56","35.59","35.7","34.81","34.83","34.07","34.61","35.24","35.65","36.14","37.47","38.02","37.87","37.89","38","39.6","42.32","41.89","47.67","46.07","49.12","48.93","56.83","54.02","62.74","71.36","80.96","86.83","93.32","101.8","104.87","117.89","127.57","159.8","168.81","185.05","153.18","207.44","174.85","","","",
"Albania","ALB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","30.14","30.96","29.03","33.43","31.37","35.3","37.07","38.01","39.2","40.35","42.44","43.24","46.64","47.62","47.83","52.75","55.48","57.62","58.83","57.71","59.59","62.02","67.53","62.78","62.06","61.48","63.97","61.84","69.16","68.69","59.02","63.96","71.7","79.42","85.73","86.63","81.74","84.35","82.2","86.45","89.5","89.91","95.19","99.85","97.95","102.2","103.74","107.98","112.4","118.32","124.6","132.82","133.32","139.59","","","",
"Andorra","AND","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","22.9182963979999","25.3026017278786","26.1542544879782","26.3509286192793","27.4914746222962","25.6523681159689","27.2704058990962","29.4659219875588","28.9587928379136","29.3010528079908","32.0367855155928","32.2887834622368","31.192911990466","34.0988070514752","35.2975683663068","35.9686994930094","35.2621746003347","37.275283738279","38.017054050829","41.0847203160163","41.3719059169774","43.1582230968964","43.8734079569768","44.0380500141107","49.2316942006707","51.8205769320638","51.5654581673713","55.0556253350777","55.2310049733698","59.2507310074242","61.73570266977","63.3357213865515","64.0799610936016","66.500726805004","67.336872929994","77.6153799542557","74.4037169857781","80.0542930129989","80.9212558413872","82.6494812153556","83.3806807062529","89.1690364950676","94.4709316361682","96.3366631701373","98.960524372975","104.702812456888","102.186644541788","105.172999513257","109.939527598598","108.698797060849","112.877132611795","108.761961917255","111.2784532748","104.344348570647","","","",
"United Arab Emirates","ARE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","4.07","4.13","4.26","4.42","4.51","4.64","4.79","4.99","5.29","5.69","6.02","5.84","6.69","7.82","7.62","7.04","8.42","10.96","12.33","14.14","15.42","19.09","22.13","21.15","21.28","20.6","19.91","24.68","29.04","30.5","37.95","47.61","51.22","55.19","65.93","72.77","90.5","94.51","144.38","174.07","105.06","102.6","92.11","102.4","105.12","92.49","92.53","102.48","100.56","110.76","64.32","63.16","64.78","66.92","","","",
"Argentina","ARG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","36.87","39.46","43.29","40.12","38.15","41.93","46.18","43.31","47.04","45.91","42.82","42.75","44.29","47.64","48.69","53.88","53.72","57.81","58.65","54.03","58.41","59.46","57.88","59.62","60.54","62.15","59.05","60.8","55.97","62.8","65.08","65.09","64.53","68.69","73.7","71.42","77.23","83.4","85.39","85.91","87.04","86.53","90.18","92.22","104.4","103.38","113.54","115.06","96.73","112.7","116.99","107.48","117.9","116.64","","","",
"Armenia","ARM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3","59.51","74.44","67.6","73.84","62.71","68.66","67.93","66.33","69.5","72.64","77.28","86.77","102.04","111.19","122.72","117.97","121.61","111.57","123.91","136.17","142.65","146.52","","","",
"American Samoa","ASM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","74.95","75.71","84.72","87.03","90.2","91.8","86","84.22","88.79","86.01","77.95","76.66","75.4","73.05","71.83","70.34","69.18","64.88","57.85","64.8","61.38","61.23","59.92","57.82","56.64","57.73","48.79","51.35","51.64","56.45","52.4","55.05","60.26","63.66","66.72","70.87","73.93","89.82","73.22","80.86","90.42","94.31","100.86","97.41","97.83","104.76","108.88","109.94","113.55","114.49","114.4","110.24","117.61","116.47","","","",
