"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","","","","","","","0.48","","","","","","","","","","","","","","0.48","","0.527983104540655","",
"Afghanistan","AFG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","","","","","","","","","0.36","","","","","","","","","","","","","","0.46","","0.104707040342723","",
"Angola","AGO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.97","","","","","","","","","","4.97","","","","","","","","","","","","","","4.98","","5.00471334206571","",
"Albania","ALB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","","","","","0.48","","","","","","","","","","","","","","1.91","","13.1477494617734","",
"Andorra","AND","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.53","","","","","","","","","","9.25","","","","","","","","","","","","","","19.5","","21.1909302818394","",
"Arab World","ARB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52808748951326","","","","","","","","","","6.26758390958141","","","","","","","","","","","","","","8.10904203925424","","4.2780498611588","",
"United Arab Emirates","ARE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24","","","","","","","","","","7.27","","","","","","","","","","","","","","16.09","","9.23566752233697","",
"Argentina","ARG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25","","","","","","","","","","4.28","","","","","","","","","","","","","","5.37","","7.52859334896618","",
"Armenia","ARM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.91","","","","","","","","","","18.6","","","","","","","","","","","","","","24.75","","23.1090030789546","",
"American Samoa","ASM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","","","","","","","","0.06","","","","","","","","","","","","","","8.62","","8.70852175263238","",
