"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.732201170991031","0.748701944371495","-0.136615049630603","1.35500296319053","2.55242494641502","1.16205127638415","2.07982419879655","0.074994541492819","-1.64944806093836","-0.833131178037493","","",
"Angola","AGO","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.35561896919224","10.7953965566333","2.50683792719628","3.29500893417792","1.07450691432431","11.4167637723485","1.0164791428078","23.0583458710196","17.4486677345006","8.47373500751405","-9.20460702910076","-1.73089499939772","9.65055769379816","5.09789465998415","-1.48622711777245","-3.58969348771813","0.608104484028719","14.9629085868288","",
"Albania","ALB","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.598900984923327","0.125762974601128","0.638742386411449","1.0261286410063","","","","-0.529668054931087","-0.854221904538361","-2.2464081031257","","","","","","","0.133166840921514","0.300057549953156","0.595919728317609","0.105816318954811","0.339550584685593","0.407532365420484","",
"Andorra","AND","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.255146803882203","-1.31594206018673","-1.96190870726861","-0.083433190274992","0.94576229289627","0.960656162018679","",
"Argentina","ARG","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.77471367329964","3.24258520413557","1.38401586590213","","","","","","","","","","1.94137414631205","0.409105584002664","0.893904423527316","",
"Armenia","ARM","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27170279258515","-0.131108491895401","0.945350100621575","1.48788402526746","1.38425198269303","6.13509873025362","-1.3634848741711","0.0619550992571121","1.50335015001311","","-0.0358055763061496","0.568779802940468","2.59013580937177","",
"American Samoa","ASM","Net acquisition of financial assets (% of GDP)","GC.AST.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
