"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.0278600964814","-1.73123021368973","-2.31424986558664","0.281700159017001","1.49556676873258","-0.626409395980503","-0.62110794913849","2.26919675898065","-1.93619709341556","-1.27501955147224","","",
"Angola","AGO","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2833315240813","26.2898742250407","6.89257260535699","1.67169925571495","-13.7427792761091","11.690304356104","0.899323893816098","24.3144865583002","14.6527746176728","7.21602542302575","-10.9753660033313","0.859668790232451","11.4431470932091","6.66148841004091","-4.5080165556597","-11.9406655711527","-6.92508488427963","-5.9614423780767","",
"Albania","ALB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.90831843919014","-10.1847091607808","-12.1210908032786","-9.55616257286945","","","","-6.67839261882034","-2.8359871018542","-3.04455724396735","","","","","","","-3.90093423368705","-3.90690806258646","-5.32580642324866","-3.14403385379946","-3.04216620684703","-2.53032575565712","",
"Andorra","AND","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.332391212709645","0.0309448246579877","0.0593307236413587","","","","","","","","","","","","0.0755705907099395","-0.190776860180867","0.228073563452541","-0.0858608248439138","-0.00687570685700798","0.124364778686003","",
"Argentina","ARG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.107803024709003","-0.229466322749109","0.264562866283836","0.483203369491258","-0.32605655686762","-1.71796687810705","-2.33400912549065","-1.65752119620705","-1.58616081545886","-2.92441883021836","-2.77220128165093","-3.31954145332982","-5.70628319150298","-2.82936804297577","-0.425276316786123","","","","","","","","","","-2.90614606577065","-3.4483087076696","-5.45165677044217","",
"Armenia","ARM","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.848435545377766","-1.00431858662669","-0.300422797422082","-0.566883682178301","-0.542749555115262","-7.60081536696469","-4.96766177398105","-2.76440681102449","-1.30435990207808","","-1.77055543483641","-4.70036885380563","-5.46797618926694","",
"American Samoa","ASM","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.0280431051289","-9.43525083857648","-10.0797405501516","-5.44617584106607","-4.33157992341879","-4.50625525338811","-6.87437594086516","-5.65745284479985","-5.98002843916572","-10.8426856968956","-1.36272279018333","-4.30060847099897","-1.33091019366569","-4.48137740194615","-2.69614180814498","","","",
"Australia","AUS","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","1.90272941705043","0.600618697521192","1.7489183230277","0.0969114734757511","-1.82165329746866","-1.23166545303235","-1.86046068550308","-1.76050699904769","-0.938865927269483","-0.0748611129352123","0.24746701861976","-1.71673366329835","-3.21294350554835","-2.49914994899694","-1.91680417514103","-0.784108181770533","0.531205225777627","1.67174324977332","1.65580259848084","0.0931533491878569","-2.73224430811952","-3.81987947877607","-3.63883478521436","-3.22120326514159","-1.73187965211349","-0.402515226668294","1.99034940973271","0.552657004830918","2.01265277431351","0.834794530636988","-0.430506425112831","0.847568635718893","0.824848443376915","1.25253970059978","1.72516019702381","1.62969910983595","1.90565223034436","-2.43234229083286","-4.02895396406034","-3.67083509991903","-3.03055289088387","-1.46661700039737","-2.17542800357246","-2.65216918076259","-2.37427365632463","",
"Austria","AUT","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","0.411822513096155","-0.830594941680759","-0.495622937257302","-3.24070526353982","-3.63189512885777","-2.99205674194211","-3.0019664516282","-2.61026999406213","-2.28045172588491","-2.25138567784381","-3.74138548017239","-4.5828294808431","-3.49332464913218","-3.71548996446231","-4.69116744963252","-4.97816008768804","-4.31012186461111","-3.61827504419","-3.29315934809737","-3.37677700831259","-2.53392628915319","-4.27426221046142","-4.21572674908265","-5.5045404035757","-4.46860999026629","-3.05414644133839","-2.8948246165289","-2.55820709462784","-2.24071853999935","-0.853639867175198","-1.34777473036611","-1.77460378881515","-4.65818075194763","-2.42907774132704","-2.16317815643792","-1.19909653555168","-1.27938302144073","-4.21308867998718","-3.12041731869615","-2.07703796224445","-1.96697323207712","-1.87406880055028","-2.68337827883537","-1.09823367470536","-1.2224533403801","",
