"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85912247946194","6.93795012657542","7.98850519646638","10.5167811516293","11.0361845395994","11.429836990904","9.88808445655444","9.35090998530124","8.56401983457942","10.0882273769914","","",
"Angola","AGO","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0091980140935","52.7883851391081","41.6333607635908","32.5599435306574","37.1352324093011","32.7583691855434","31.9835827415603","57.7875833224903","48.5718494280863","44.8778720755193","20.7224469519551","35.5581936493038","47.8789680839599","40.2176720403566","39.0782412514619","35.4974481551278","21.258815116681","16.6822774571058","",
"Albania","ALB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2013618355212","13.6328349675056","15.3364712736782","21.7736699695952","","","","23.5102690129242","23.6744382345281","24.113882316299","","","","","","","23.9003179095607","23.0507103007423","22.3049555248826","24.5251045616073","24.8509075307313","24.2734305139018","",
"Andorra","AND","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56351712747652","6.91292989917744","6.51896326009429","","","","","","","","","","","","3.41062486700277","3.24319038919144","3.13215028997562","3.00891741831087","3.53223970180566","4.1273593854345","",
"Argentina","ARG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3875396339054","11.1620910357746","12.2806411476509","15.0995556252854","14.8638517712865","14.0262971514164","13.0408350549651","13.6002991200544","13.7561266874785","14.0111384261594","14.1776102532074","13.7775019608536","14.0561136349095","17.1997019513553","16.7347777696665","16.6216575161027","17.2017551603052","17.9300729987004","18.9717341522181","20.1360210279783","21.2413164267537","20.196408074281","21.182234604867","21.5652829643596","22.3322943705014","22.5293157617716","22.3971892008464","",
"Armenia","ARM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1983826790851","19.3048587396415","19.7633111464399","21.3849781783405","22.8602935610245","22.2532496488502","22.6479513525881","22.7264264431653","22.597804052938","","24.5145567085198","23.0924926716717","","",
"American Samoa","ASM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5264492904168","16.5268369877531","17.8589178534035","18.3032554882266","19.023850932354","17.8875947903951","19.2924856924998","20.4661520117129","19.92043829703","18.026137480479","20.5543461678814","19.3388701514398","19.7700912213959","18.5606253484664","19.2410200037033","","","",
"Australia","AUS","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","20.413343816691","19.466875577518","20.3123186844156","22.0901978960379","22.5971468370239","22.9824196400707","23.0657115095166","22.2317734010905","22.7171359757367","23.6534849818101","23.8125849778986","24.2307712624067","23.5745342050948","25.1168820129208","25.4675927702521","26.1778220381921","25.6244896701536","24.7180731788097","24.4320456241444","24.1991700445788","22.6926691507398","21.9907370959289","22.1872391429978","23.0240854580268","23.620179834516","24.1507341461401","24.0986504782879","25.1251207729469","25.9288149172732","27.0274289631495","25.9949246116559","26.631918930821","26.5741070424103","27.0523218958763","26.9525608488289","26.4090892371073","26.5764852490946","24.4857378819643","23.3677942640816","22.7783205548332","23.644855239616","24.5722994457061","24.5323722907783","24.5757617735384","24.9198121416624","",
"Austria","AUT","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","27.7411489059892","28.2436888293991","28.7081224669594","29.3082446832646","29.2718550239018","29.6846304225092","31.9795435379374","31.9140917413544","32.4038908806975","33.5038364143348","32.4486439545485","31.9864052597567","33.357868813904","32.9148945052002","32.652324402701","32.6857774049199","33.6069239919765","32.9085863011595","33.0288085170801","33.3178288384397","34.7971707546728","35.0832706675686","35.0308354146301","42.8237559011091","44.1062297935673","44.3798173584503","44.1088746070024","44.3798393902043","43.739866880443","45.5402306168532","44.491041136","44.0512578017157","43.8177810725771","43.5075851412868","42.9541477635817","42.977203478143","43.7181287390186","43.8640628609474","43.495113699162","43.5412709035018","44.1381353211003","44.8199593591063","44.716386966511","45.0633955964933","","",
"Azerbaijan","AZE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6062415293797","17.9983597338082","13.7670091925757","14.8817140975468","17.8806377920259","17.5729891816862","","","","","","","","","49.3018945018586","40.8898501467635","46.8289179324149","45.4813563227219","41.2737468946369","40.4057956068887","39.896465245535","34.1837072453108","","",
"Burundi","BDI","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8095026852542","16.4902485266402","16.4563406301949","17.2423527668912","17.6803477555392","16.0817179779552","12.1056009334889","14.7643653173413","13.9517018006148","","","","","","","","","","","14.814837085498","15.8699274569539","15.0749107549818","13.1366555377082","","","","",
"Belgium","BEL","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1482507449822","41.6405948993806","41.8638953093946","42.4446542618521","42.1741337941087","42.1134914918171","42.1598158535136","41.0855103028338","40.3073912958871","40.2750084697306","40.2498324134264","39.8836902107713","39.5088950937375","40.4692177360203","39.5070719141605","40.0751847778899","40.8139616777669","42.1139762286513","42.8081984035267","42.5237866117462","40.5961282073272","","",
"Benin","BEN","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5734353427638","15.3234348101456","15.1597732319588","15.4332645499456","14.642168226182","15.3536990164008","18.9831017147151","17.3280963086628","16.4198282535211","17.2661715628005","16.1697315665274","15.7340073035967","16.7359299703789","","","","",
"Burkina Faso","BFA","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6953747055401","12.3518349247959","13.725244716167","12.7254155872569","13.0105955750101","13.7596750710269","12.9090403429913","13.641634469758","15.3180016687761","15.68319170203","17.5211882023191","18.9290664465522","17.398154440003","17.0003437243545","17.7397870418087","",
"Bangladesh","BGD","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.55508912359227","8.87465110773691","8.71578966709367","8.65675173626511","8.9489913342907","8.77841193665516","8.81075448022252","9.51289063059205","9.64307267713728","9.74382934646306","10.4626574311705","11.1452302740666","11.1604123716535","10.8668856085968","9.84448478831869","10.2095738978201","",
