"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","1.62960823603011","","","1.86891033068746","1.61082478544479","1.72206576488968","2.04608694762571","2.01147473556355","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36978613572853","1.95042957139392","1.86129988322751","2.23706942196111","2.32800275800812","2.06075131768437","1.89747275108326","1.77859261784739","1.1447151131951","1.05001893656368","1.2977284346336","0.993453782028283","0.892336194895845","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","17.15","17.3","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","7.67923076923077","17.5472118959108","5.70959367945824","4.70739276826233","2.44784815671705","5.97225116095868","2.64200770687947","17.334692213616","6.39260315427404","4.52435381521459","3.51023506834408","4.72213379180699","4.16241473796093","4.83484197372832","4.71484492819948","3.36223184907008","3.75821463787197","4.38612881814425","4.24488429189766","3.49561936904927","3.59335773707098","4.87603161832403","5.40021316799854","3.51593857254428","2.96369398089448","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","6.04968468303311","5.84831708982963","5.65159574468085","5.44128208756186","6.11750450564807","5.65142633342647","5.62392176179458","5.85985073250337","5.61500470366886","5.16567638330751","5.88830082474813","5.79127052776037","4.44845197534468","3.19929790202817","2.50038576220844","2.09971303703802","1.37902873121951","1.28308157349106","1.23824307687336","1.2492088209833","1.24635933853464","1.30929225050669","1.32003499121776","1.33684453742985","1.38115868416309","1.35000545453235","1.56776946298694","1.82076528014737","1.98486885667765","1.51721713952654","1.55859189306875","1.52826633775804","1.48708257653319","1.40898210145112","1.34651599130554","1.16760128654391","1.23615638607243","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","4.62476595115416","4.62548789809592","5.2581099100156","3.78617817742629","4.68872188059463","5.83381084930197","5.47342395174955","5.64663356283242","7.38456516983301","8.42207366938182","8.12982637304164","7.94476586519551","7.51371210692226","7.96575609755193","","","","10.9681271125846","10.7556841759534","9.75290666225537","8.6274512781178","9.98893705881234","12.2858005736817","11.4070229315179","11.9787328048263","10.6962250563189","","8.5326941671042","8.05472553818752","7.80426370918102","","11.4487018293897","8.70572231747116","7.9193337993319","7.33235443881812","6.64295137150512","6.07048182454873","6.25493699995007","7.15993192306184","6.18702177655323","6.07658926763768","6.50777882548177","5.98964309554264","5.55705236951418","5.16315414184856","4.71959897709689","4.47096301004319","4.60268203504534","4.25602669024036","5.4070265299566","5.11670085193728","5.00064133568088","5.18044984482729","5.81601031710019","6.28919061814181","7.45117184112626","6.20146651357461","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23125030233088","5.29948113445167","5.01280124852479","5.63157166754963","5.61210504675656","4.87552690304984","4.69231072434317","4.61147388489275","3.65647745569231","3.22597254214973","3.28052136989454","3.66802298461867","5.4571072353951","6.0385922088351","5.46631452583393","5.07555649413629","6.03468625232794","5.64365135094569","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","1.17862730533665","1.28291832332388","1.24802984940579","1.32559596801396","0.959740697091548","0.88822477383254","0.971325959860368","1.04938349441154","1.27527587531009","1.41685794258794","1.40809869515929","1.41169970592739","1.37837213750891","1.36816550554546","1.24706449041278","1.50497622339064","2.80440505310343","2.95521390467737","3.48569231920779","3.44695516344966","3.09863563759009","3.46520753472544","2.70449605308317","2.73906292812129","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88037142585904","1.45091554117098","1.50692651364508","1.42253282338073","1.42280306119888","1.45703853325047","1.47307453443229","1.2412284045824","1.14013911131295","1.13631707160019","1.22035954754993","1.14882368723143","1.1842346437015","1.09188047859748","1.06089364594404","0.883295358878603","0.847154783940169","0.788233877498737","0.792548175006536","0.762756475379607","0.886508576704159","0.8148781055198","0.764287094047545","0.784824721024413","0.837736430166244","0.878100919365976","0.864722840014817","0.955449130994032","",
"Armenia","ARM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0954898610529","2.1216524709547","","4.0593119798445","3.28186689255288","3.90940345229545","3.52809604897334","3.69737538598676","3.56002487253697","3.12724938530975","2.69771474886414","2.72837221377968","2.74199670493715","2.87193136291811","2.94761315625864","3.04257470127966","3.39557936270657","4.15704990783508","4.26564605593771","3.85394644115574","3.58376691873744","3.99724455730484","3.94337826474581","4.2392258025425","4.08022686273961","",
"American Samoa","ASM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","2.47259366341405","2.39464692482916","2.45795601552393","2.56997190718968","2.75659133709981","3.0325252350962","3.61569399983584","3.93734123624047","4.04289580977833","3.58659456817279","3.09237818931157","2.91369224667856","2.79681006402336","2.62243381141778","2.45677436467019","2.43402294976053","2.39865027138671","2.34578175387496","2.34391373101911","2.33779148652862","2.3880497160358","2.47074506507663","2.5011235571535","2.64535451870711","2.62675097230738","2.66979768786127","2.64457577036724","2.52371717595262","2.30168389591582","2.16284158345957","2.12219976377447","2.17032861227987","2.21276133535459","2.22743826042752","2.18381455876373","2.08434949108133","1.97923708171103","1.91908062148495","1.91959877433432","1.93937198067633","1.8965556336591","1.92870962350682","1.93926770154383","1.9094621045501","1.89168877048638","1.87837610866397","1.89392042529581","1.88874788494078","1.8844443841199","1.93050790928149","1.95073941740629","1.8281503245082","1.69734558478985","1.68343776124709","1.79903015208121","1.97886106259926","2.00131249456149","",
"Austria","AUT","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28546477587892","1.21971008617979","1.18503485868006","1.14739588758585","1.09699382053624","1.11105602711851","1.09437680020619","1.06110257843963","1.03593233471867","1.01735997629551","0.989576545273687","0.97816744009264","0.978434736624095","0.906472860139083","0.881843588305337","0.910237905696334","0.890371566934295","0.850142574026263","0.785813244459197","0.90045717278703","0.870705123070585","0.833379564692924","0.821232711530621","0.790897558452031","0.778464250647036","0.750825383084571","0.747967454288326","0.664018970245477","","",
"Azerbaijan","AZE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48957490508496","4.93372888045734","3.68316850709437","2.73690130284","2.25423034135488","2.32404979925782","2.41235591259715","2.62510993144516","2.26786206311863","2.31206260817217","2.24332117101365","2.4263625550969","2.62945031241574","2.29906967458575","3.4177538630434","2.86419491898944","3.29121114577001","3.32542168167072","2.79100435652891","4.67013555547022","4.65859272249014","4.54092330961466","4.55502084251195","5.60867966164031","3.64277009484449","",
