"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5096484955.91443","6146314109.8277","6966902248.86385","8679019328.82627","9888573664.85494","12797056066.3605","14429903283.4581","16666734380.6389","20696649266.358","21482615508.1874","21335849346.3224","20259549880.8322","19979001576.764","",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7753612637.3588","7947129761.52306","8427166118.58539","9141976936.78821","9632140477.05955","5148755055.40413","3520618327.81039","2270269776.03867","4475178350.14202","4888425960.7515","6368533592.5869","6371478626.5732","5322524760.57875","5902883131.24937","6689599550.52315","8219204788.30088","10295835043.9312","15237643011.8731","20934437786.921","30253634834.6147","45314865181.9319","59978038500.9029","71969654311.0587","75707099272.1408","82097212260.9799","95783780093.2367","113176869315.263","120254785824.663","112615029640.53","99404127946.0851","",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","2190743081.03733","2332656937.93619","2392371983.93334","2534775243.07524","2222566165.05625","1371906618.94473","969813375.359523","1044129833.82556","1289548193.25494","2106321923.28769","2920153389.40861","2610446154.5022","2830938584.78926","3133570682.34615","3599110957.65965","4075316290.14561","4299366514.11131","5145317134.79467","6508252685.90639","8049507418.63254","9233876611.01937","10343305950.862","11654138882.9489","12388741627.591","12709588023.8258","12804507540.2373","12658733269.6167","12966871583.1614","12840768619.8694","12347298459.2398","12009983566.5301","",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521028754617.245","547626199459.817","584615417469.265","615418380124.646","628499503087.115","635427358876.917","683971809829.133","723550620976.564","732625065636.613","811089336040.199","946442269998.977","1106598573602.59","1299463784511.13","1531434425823.8","1842694868760.05","1911623993908.32","2050958838093.8","2196884954620.55","2556434130811.49","2792183934951","2906719840047.71","2797259323554.34","2676037918597.43","",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105599045558.086","107622937088.949","121688462672.802","147125913781.565","172049184074.736","208706588077.411","244207093897.418","282949571000.644","277083140714.063","285617000376.505","312318348212.565","359522252730.841","398095731484.286","407042024203.455","392835484013.618","375190395613.32","",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","24436915654.103","27307536017.2301","30359663534.4139","28316034885.8704","28110535227.8209","30585419212.241","31582382532.011","35775760791.007","36156762383.0369","45649404115.3341","62985567014.5745","70261202934.7401","61903678901.7335","59112910817.3592","59256732622.5587","72112302460.3745","82660225826.4379","80146672082.5083","74565387183.1763","82329899839.3928","84267616755.2431","80453833078.0591","92857323881.5761","112638050160.817","124116130587.459","93730090346.9469","103869964076.715","131014041439.382","211262316809.054","241273096754.209","260408189266.054","256347036079.019","272663665722.646","290495384201.567","289536636733.559","276294456319.13","275544319817.846","260811675460.728","148962755038.596","136125250328.921","137683345813.767","179887079005.213","215466370750.243","258467363500.435","307356739516.93","315574877102.517","378200074627.375","442160049865.494","496112638697.524","543345801708.36","526836253090.669","539881062171.715","524974244036.135","",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063409718.22735","1102754533.34824","1314498865.47712","1466393965.29109","1641685571.54618","1747584372.68865","1825628017.51424","1893112767.31418","2025189580.91766","2172390024.751","2441392029.22578","2894719583.58023","3506971033.36786","4581813197.0362","5963511730.43349","8096070934.93034","10463239023.9374","9630072517.30096","9986732950.71501","10160340614.1342","11192573496.9949","11911958495.8238","12065913345.0291","11754066438.5667","11033089154.96","",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","111520192.58432","134659329.436406","150211478.808364","152568415.221936","166488714.431755","195964428.508338","223106033.356581","245131893.493882","300929075.132861","373136820.040096","399819782.578821","426252916.834717","458051766.544234","481298119.925958","523298789.080859","568171358.965427","558752312.062361","610541385.316474","650804988.882478","678919813.331468","717459300.66468","771086064.507374","760913427.095642","756894897.122505","835176323.24335","919129087.040302","1010720553.39547","1141507771.03044","1266512324.9701","1300973471.84848","1176196657.4056","1117224253.60628","1102751774.9578","1151784296.65788","1175887950.37653","1235994971.30746","1284191272.46725","1369440563.43545","",
"Australia","AUS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","20162302137.5541","21609748672.1892","23558879886.2275","25907587703.0587","27368641205.6918","30002731042.609","32840152423.6934","36564323132.2564","41000508209.9803","44991249592.224","51294634325.8393","62314070203.4967","81725647366.6514","100428336907.151","110541550360.097","114846780044.035","121764824929.672","139473446595.838","159326066061.823","177359367728.698","183576230122.825","178312850899.944","187238257203.349","189526256407.153","197458422405.068","204480497373.143","233835141782.414","262480235940.971","296120964672.487","315404024279.287","324753554688.091","334407828605.33","337320166023.123","349158644603.37","375832071953.178","406996976354.189","407775774181.356","406152772134.268","404788426409.711","390854824360.366","392665230301.557","420438559064.734","513621088773.638","618846465138.818","707330555478.131","777780993486.746","900767702122.668","955409386259.475","1025762151959.24","1120449310404.33","1360090033607.78","1517534704609.24","1521596606417.64","1435239573280.13","1313015524939.68","",
"Austria","AUT","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","7542193505.44714","8160812049.70646","8952334691.9985","9711756127.16677","10733894518.9912","11490052086.3633","12488031184.1324","13757221942.2535","15456599693.4466","17383108706.2517","20827473229.1582","27135197311.8407","35357094835.5531","41973161239.9272","45227642835.1722","50391969583.948","56986218928.4827","72612079368.3862","86525730445.586","84581170210.3511","78645873809.2257","72607743402.8824","70106041896.7609","70825979882.4852","81882180807.7538","104616119776.213","137094989125","147034433413.474","158408233605.973","169120913043.116","192283092948.132","196613460984.415","207435406728.662","224071373852.028","239596421318.175","235725264170.468","223176374245.748","216476996116.447","214609413249.609","203507827675.625","201845733504.147","227302211570.103","275573376268.715","318297358431.876","342504952294.619","368823694650.526","408735574095.18","408870188498.803","415078155810.439","424671215221.952","422005292078.195","429923724575.35","430894924072.678","411629707010.012","400589734449.253","",
"Azerbaijan","AZE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4423404929.97602","3310923482.6684","3038779314.3061","3114588734.16848","3536172007.67364","4042472321.7658","4552756828.42333","4922349656.4287","5337836616.8541","5860781672.47979","6766655641.97269","7894369319.30677","10620750643.9287","16040332498.6596","23239289744.2646","34134540867.4436","43200139085.9891","48951723305.0914","51009258005.6335","60213463923.0499","70153450319.4586","73398463233.0892","63236255361.3962","46454548215.1588","",
"Burundi","BDI","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","206666179.554777","229705021.266601","249136186.896266","218415484.943328","186278497.787243","178801235.584619","176530724.12111","178807836.954774","235185344.33884","250901658.136643","245081171.320459","301256262.156112","348631154.078755","414529128.473887","461778313.282135","545551150.710919","581439793.958895","720310248.680174","896643348.126934","1074923410.54021","1034715176.42408","1019182029.11059","1009821428.96855","1131169775.87282","1201972390.95721","1294120780.36516","1302305820.07593","1210929034.44108","1187230148.15055","1225750918.73291","1192299103.35533","1044187086.06226","955734527.505135","916444361.740933","868857678.238636","906257045.773037","906190364.534552","866791081.745412","859340957.827909","843865403.332798","862872242.206565","827371837.115563","887399105.827599","995645970.011346","1175383857.86099","1343416577.79126","1525194944.31045","1651965519.0478","1858616904.37402","2111617801.04119","2389492833.66949","2646230338.49546","2879886373.44989","2866610646.6835","2924463063.15014","",
"Belgium","BEL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","13405546015.7945","14226174724.9565","15668565678.5183","17067196863.0391","18553179286.3821","20097046130.0383","21872541388.0785","24221708058.9659","26973562926.9012","29877955663.963","35520016459.3504","45899743630.9037","58874388978.8932","68058757924.0321","74814839817.1949","81195887961.424","94535140658.0594","116116760376.182","138487067416.057","130703584075.385","110746504351.14","93347466350.3758","87777198622.1823","87407607516.8398","100736808363.668","129866812940.034","169233842442.851","180042478293.823","193416863917.647","206919490199.866","233844921108.885","237182529020.838","255011689260.339","275722938490.967","292113549735.124","291645174004.754","272600509365.862","267718442172.155","266898059136.103","252312262496.621","249289062420.764","281422137369.728","343542198502.188","396646508720.659","422242261648.752","454524132447.623","500420148254.787","499542662024.805","522086629329","520149232654.601","525186567187.905","530055394119.68","526434245612.844","498694979339.857","483167844629.909","",
"Benin","BEN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","233081229.738465","249823244.169908","271737292.680725","292322660.0057","308228097.870337","314614257.869297","333126836.853865","344766354.418561","352437258.15973","347345806.653307","397398713.189865","487765466.00882","599423361.874648","668407887.062273","706757920.062892","787514355.29962","876798040.000619","1113346639.8031","1433291317.76938","1561860098.36277","1427033829.73308","1156983592.88756","1121503707.18936","1114750039.99097","1202357029.30217","1390353352.82555","1698144638.58091","1635602519.97221","1825173515.18724","1953417680.18949","1947363950.63799","2105178994.03433","1894285350.60006","2098301521.36016","2130455504.31104","2374740872.17571","2403760082.85173","2526428846.02579","2691398094.61305","2760552617.99682","2832306435.77978","3301916385.43014","4116860860.45766","4796421315.09816","5168917902.71685","5695934755.61176","6553034986.30015","7085160867.88425","7246847492.00621","7558644846.85215","7982923106.62987","8915031215.27315","9541939264.63756","9160109801.00372","8938879519.61113","",
