"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19202168208.0175","21252007733.2421","22134851020.6294","25406550418.3726","27761871367.4836","32316545463.8146","34181087567.1196","41684373490.0272","45732340266.1703","49888820621.1393","58374063905.6029","61579304417.2692","64014397931.3858","65573681029.4426","68140183755.8471","",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34569336016.9061","30879923480.5458","20680131175.5297","15890782646.027","13109248642.22","26009612297.3911","28105376771.2584","33734418127.4622","35182528013.593","33723722277.7798","37307741782.9632","40228030725.6054","40031831004.9999","43423649918.7186","49188824296.1127","58938608655.37","72912494849.1169","94146815092.4198","104602318263.516","117298870325.551","121741471754.915","129828021354.222","139469689703.388","153218100914.549","165138854750.806","174247151884.424","175483865422.39","",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8938800139.77001","6385281510.63739","5927609833.88249","6864795993.05548","7687021223.07445","9028200836.05795","10063435475.8868","9123322090.09911","10325998889.8513","11728114847.0433","12811632389.5263","14065584344.9061","14862377847.2658","15969882459.3732","17111639146.9918","18254799261.5056","20424212267.7075","22256276513.9624","24373910573.7303","25390798025.1325","27793320160.9902","29663229076.2407","30302902932.7462","30681915231.0405","32139722323.291","32188597724.6514","32651508159.0605","",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1559796497142.68","1606069080354.09","1721912413113.98","1823136684496.01","1900796125373.36","1997696963937.3","2110363364323.05","2235349427292.45","2414815549583.34","2495390349087.78","2662827980594.67","2779795021074.02","2800762819527.62","2978278844778.63","3345392829894.58","3650780291457.55","4019678700365.18","4346993797402.17","4681287783731.62","4733963500335.96","4973450154914.76","5221894530479.5","5593471389746.54","5839241894315.71","6168070714742.64","6494980062648.86","6796056996705.62","",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280831865270.854","280767744146.641","308841098463.829","349509105060.538","382483288713.593","435296665533.776","466138360206.735","480758770611.992","458219929516.157","466430838270.45","506666150859.09","542599447716.908","585181040865.654","613773642046.005","646265054315.4","675151488477.683","",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218759633009.263","258136517828.273","299295164749.653","326379402093.412","352284452481.358","348075314891.159","373209846851.091","409961396554.712","428808147190.214","419961807851.945","426027857759.807","415584811228.832","359183623079.468","403352108932.317","453888625711.513","520423058066.789","582600188768.878","656547284620.024","697524133570.434","657150616161.992","729947520649.598","794545309061.107","804832959886.585","839366658948.401","833761491687.03","866248809409.257","854841392414.608","",
"Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8243622077.32556","7799721806.9342","3883786430.49208","3983285124.42318","4669797052.24733","5091768590.1826","5649575324.42393","6122803147.4995","6464125812.4275","6765668294.54572","7312962664.13328","8216359860.09029","9503884952.94383","11017601206.143","12461664771.2174","14816824931.3305","17375047780.6536","20420228115.3273","22368198058.2348","19024006136.8475","19831190099.8922","20909528812.773","22923478928.5206","24560783156.3072","25540609405.3703","26526222994.0203","26382106128.7176","",
"American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
