"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","250","270","330","360","460","500","560","670","680","650","600","580","",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","690","710","750","770","400","260","160","310","330","420","410","330","360","390","470","570","810","1070","1490","2160","2760","3190","3240","3390","3820","4350","4470","4040","3450","",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","720","760","760","790","680","420","300","320","400","660","920","830","900","1010","1170","1330","1410","1690","2150","2670","3090","3480","3950","4230","4360","4410","4360","4480","4440","4290","4180","",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2105.71178816773","2147.30386983018","2241.25003167327","2308.61186149773","2308.664080747","2286.01525506961","2409.77680907263","2496.29025289268","2474.86248704736","2681.86759475098","3061.31471921145","3498.96297510165","4013.49934969039","4617.56940422968","5422.47406666689","5490.88304518323","5752.89646926241","6020.58035476233","6848.07458405016","7315.08691558736","7452.30559549371","7022.90858631121","6583.88536830064","",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31750","30690","32520","35990","37570","39810","40400","41040","36140","34530","36010","40390","44200","44870","42910","40480","",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","1110","1230","1340","1230","1210","1300","1320","1470","1460","1810","2460","2700","2340","2200","2170","2600","2940","2810","2570","2800","2820","2650","3010","3600","3900","2910","3170","3950","6280","7070","7540","7330","7700","8110","7990","7540","7440","6960","3930","3550","3560","4600","5450","6470","7610","7730","9170","10610","11790","12770","12260","12430","11970","",
"Armenia","ARM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310","330","400","460","520","560","590","610","660","710","800","960","1170","1540","2020","2760","3600","3330","3470","3530","3880","4120","4150","4030","3770","",
"American Samoa","ASM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","1520","1830","2060","2110","2320","2770","3200","3560","4440","5560","6000","6390","6810","7030","7480","7920","7590","8070","8370","8500","8770","9230","8950","8770","9570","10410","11320","12640","13860","14070","12570","11800","11520","11900","12020","12500","12850","13560","",
"Australia","AUS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","1880","1970","2110","2270","2350","2540","2730","2980","3280","3480","3890","4660","5960","7230","7880","8090","8480","9610","10840","11880","12090","11600","12050","12030","12330","12570","14140","15610","17350","18250","18560","18930","18890","19320","20520","21980","21790","21460","21130","20130","19980","21130","25520","30340","34170","37340","42390","44040","46560","50150","59800","65560","64740","60180","54230","",
"Austria","AUT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","1060","1140","1240","1340","1470","1560","1680","1850","2070","2320","2760","3580","4650","5540","5980","6660","7540","9620","11460","11180","10380","9600","9270","9360","10820","13810","18070","19300","20630","21810","24520","24870","26140","28190","30100","29580","27980","27090","26790","25300","24970","27990","33720","38690","41420","44460","49120","49010","49630","50610","50060","50700","50450","47680","45880","",
"Azerbaijan","AZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","440","400","400","450","510","570","610","660","720","820","950","1270","1890","2710","3900","4830","5410","5560","6480","7450","7700","6550","4760","",
"Burundi","BDI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","70","80","80","70","60","60","50","50","70","70","70","80","100","110","120","140","150","180","220","250","240","230","220","240","250","260","250","230","220","220","210","180","160","150","140","150","150","140","130","130","130","120","120","130","150","170","190","190","210","230","260","280","290","280","280","",
"Belgium","BEL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","1450","1530","1670","1800","1950","2100","2270","2510","2790","3090","3660","4710","6020","6940","7620","8260","9610","11790","14050","13260","11240","9470","8910","8870","10210","13160","17090","18120","19400","20680","23280","23520","25210","27200","28760","28650","26720","26180","26040","24530","24130","27120","32970","37850","40030","42780","46720","46270","47920","47080","47190","47400","46970","44230","42610","",
"Benin","BEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","90","100","110","110","110","120","120","120","120","120","130","160","190","200","210","230","250","310","390","410","360","290","270","260","270","310","360","340","370","380","370","380","330","360","350","380","370","380","390","390","390","440","530","600","630","670","750","790","790","800","820","890","930","870","820","",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","320","280","230","230","250","250","250","260","250","240","240","280","340","410","430","460","520","550","570","600","650","690","680","620","620","",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","120","160","210","200","170","160","190","230","260","240","220","210","220","240","270","280","290","310","310","320","320","320","330","360","380","400","410","420","430","420","450","490","530","560","590","640","710","780","870","940","1010","1070","1190","1330","",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","2360","2090","2010","1950","2190","2720","3110","2830","2250","1620","1430","1250","1240","1360","1300","1330","1390","1490","1660","1770","1960","2360","3050","3800","4290","4860","6040","6710","6980","7220","7420","7610","7720","7480","7580","",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","8310","8730","9210","8090","7450","7830","7570","7310","7220","9800","9880","10030","9680","10380","10790","10310","10070","9870","10940","11500","12100","12950","14580","16550","17890","19660","20860","18830","18970","18440","19910","21710","21010","22660","","",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10790","11710","12430","11860","11320","11550","11310","11600","14260","15940","13660","15790","19020","20330","20870","21230","21650","22780","23510","23610","23860","23790","22270","21660","21330","23580","25060","26780","26130","26490","",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","1010","1320","1390","1480","1600","1760","2040","2550","3110","3440","3910","4720","4960","4930","4970","4930","5180","5170","5050","4940","",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1770","1580","1460","1370","1450","1530","1550","1400","1380","1300","1380","1630","2180","2820","3510","4310","5470","5590","6080","6210","6620","7010","7600","6720","5600","",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1430","1420","1270","1130","1110","1180","1350","1580","1830","2040","2210","2380","2670","2790","2780","2860","2880","2890","2780","2880","3150","3140","3230","3450","3590","3680","3780","3740","3940","4070","3910","4140","4260","4330","4390","4510","4360","",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","2170","2160","2360","2460","2830","3210","3240","3340","3570","4010","4550","5430","6490","7570","8290","8960","9680","10700","12790","14120","13710","14820","16510","17870","21170","24040","26620","26500","27060","27400","29000","30890","31730","34290","","","","","","","","","","","","117640","120490","111580","110440","107530","106080","106140","","","","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","240","250","290","310","390","490","580","620","700","810","870","1030","860","870","850","820","740","720","710","720","720","740","770","800","820","850","910","960","1000","980","990","960","930","920","970","1030","1120","1240","1490","1640","1810","2010","2280","2620","2870","3000","3070","",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","240","250","270","280","280","310","370","410","450","500","590","760","980","1180","1360","1490","1670","1960","2190","2090","2010","1720","1620","1570","1800","2050","2260","2760","2730","3270","3160","3080","3020","3690","4480","5040","4830","4110","3860","3290","3060","2940","3300","3940","4750","6030","7400","8070","9610","11010","12280","12730","12020","10080","8840","",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7500","7690","8060","8480","8950","9360","9740","10170","11160","11020","11070","11780","12700","13640","14560","15560","16010","15580","15740","15320","15960","15920","15670","15310","15210","",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12080","12460","13580","15160","15030","15080","15680","16210","16210","14420","14040","14680","16070","17130","17800","19980","23080","27580","30930","34160","32470","33300","35490","42290","45180","42930","38590","32860","",
