"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","920","920","1010","1070","1210","1250","1490","1590","1680","1900","1940","1950","1940","1970","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840","2460","1590","1190","950","1820","1910","2240","2270","2110","2270","2370","2280","2390","2610","3010","3600","4480","4810","5200","5210","5360","5560","5890","6130","6250","6090","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720","1950","1830","2130","2400","2830","3180","2900","3300","3770","4150","4600","4870","5250","5650","6060","6830","7490","8270","8670","9540","10210","10450","10600","11120","11170","11350","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6940.58959058323","6957.8044395628","7326.12780854546","7555.91288722901","7681.97296719747","7833.19429501715","8090.53578779385","8385.44048910968","8870.32987865329","8977.42334458268","9381.70407313977","9590.44884348381","9461.18712324264","9847.681589477","10820.8399353421","11543.4317147676","12415.1038622052","13107.0225540103","13775.5642761247","13597.6740213262","13950.4232385541","14310.6426937481","14983.5698088478","15297.9040683464","15813.8212247256","16306.5507962764","16720.413381212","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84430","80050","82540","85500","83520","83040","77120","69730","59770","56400","58420","60960","64970","67660","70600","72830","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6680","7780","8890","9570","10190","9950","10540","11440","11830","11460","11500","11090","9480","10530","11720","13290","14730","16430","17270","16110","17710","19070","19120","19730","19400","19950","19500","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2230","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3130","3650","4150","4970","5870","6960","7690","6590","6890","7270","7950","8490","8790","9090","9020","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9540","10340","10600","11380","12060","11450","12170","12820","13260","13600","14180","13870","13740","14780","15820","17320","19910","22070","22130","19430","18310","17960","18580","18980","20040","20970","22090","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16780","17120","17530","18660","19680","20240","21270","22230","23470","24510","25580","26630","27940","28880","30490","31380","33050","34960","35980","38860","37700","40100","41290","44470","45350","45140","45210","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19540","20570","21310","21760","22640","23570","24510","25290","26490","27170","29120","29330","31000","32030","33710","34940","37720","39350","41660","40900","42400","44600","46500","48050","48880","49570","50530","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","2720","2410","2420","2630","2890","3110","3340","3710","4120","4650","5100","6280","8570","10560","12380","13800","14690","14680","15260","16320","17100","17100","16130","",
