"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2690010070801","34.875","29.367000579834","23.761999130249","23.8729991912842","26.2059993743896","24.5359992980957","22.9969997406006","21.5869998931885","20.2169990539551","18.7940006256104","20.011999130249","23.8530006408691","23.4130001068115","23.5230007171631","24.1959991455078","25.0209999084473","25.636999130249","27.5499992370605","29.3680000305176","29.931999206543","30.9160003662109","31.4200000762939","31.2630004882813","30.7789993286133","30.5809993743896","30.5030002593994",
"Angola","AGO","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1490001678467","14.6820001602173","13.996000289917","17.6730003356934","19.2740001678467","19.3910007476807","18.5809993743896","16.8980007171631","18.3099994659424","18.7910003662109","18.5400009155273","21.3279991149902","20.5400009155273","21.378999710083","16.4389991760254","17.367000579834","17.8339996337891","17.4109992980957","17.0440006256104","16.6399993896484","16.5639991760254","16.7269992828369","17.1919994354248","16.7940006256104","16.7450008392334","16.3579998016357","16.2950000762939",
"Albania","ALB","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.7190017700195","33.2529983520508","23.6679992675781","23.1399993896484","24.1550006866455","22.0580005645752","33.9729995727539","22.8969993591309","21.4680004119873","25.1219997406006","24.6630001068115","27.3309993743896","27.2689990997314","27.5729999542236","28.4400005340576","28.8950004577637","29.4979991912842","33.6969985961914","33.7109985351563","37.4949989318848","34.9599990844727","30.0419998168945","36.8880004882813","40.8349990844727","42.5620002746582","41.9930000305176","41.7470016479492",
"Andorra","AND","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0010958308844","52.2560443304559","54.2838309564339","54.5670652866531","52.5908301524931","53.840407272122","54.1691327032424","56.222742885133","56.3648277363165","54.8713097766719","57.4712056241911","59.7421627738125","56.9501095854798","53.7539801732028","54.9846767916363","57.5355041525641","56.2289812838802","57.6498711683752","58.030253379799","59.5690901391289","59.293605815374","61.5062004384035","60.3135079764552","59.9407163827561","60.4889032787608","64.0281812513467","64.1125824386753",
"United Arab Emirates","ARE","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6309967041016","98.6900024414063","98.6470031738281","98.7679977416992","98.7529983520508","98.7239990234375","98.7870025634766","98.6350021362305","98.6969985961914","98.8529968261719","98.6230010986328","98.6660003662109","98.8000030517578","98.8130035400391","98.6969985961914","99.0930023193359","98.9769973754883","98.9530029296875","98.5709991455078","98.2979965209961","98.3960037231445","98.3450012207031","98.4520034790039","98.3789978027344","98.5849990844727","98.6370010375977","98.6330032348633",
"Argentina","ARG","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3410034179688","72.5110015869141","71.2890014648438","72.1129989624023","74.9160003662109","74.3710021972656","75.0780029296875","75.5469970703125","75.8860015869141","76.4250030517578","76.1490020751953","78.056999206543","78.6240005493164","78.8850021362305","79.3570022583008","80.1169967651367","80.8359985351563","80.7060012817383","80.0390014648438","79.7699966430664","80.0800018310547","80.6809997558594","81.1080017089844","79.8730010986328","79.5749969482422","79.9020004272461","79.8639984130859",
"Armenia","ARM","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6949996948242","69.1169967651367","52.2599983215332","37.6949996948242","36.1500015258789","38.7830009460449","41.2550010681152","33.0180015563965","35.1910018920898","34.7939987182617","33.1339988708496","30.9810009002686","32.181999206543","34.9659996032715","33.9129981994629","35.2809982299805","35.8139991760254","41.3619995117188","52.7029991149902","50.3219985961914","50.8689994812012","52.5559997558594","52.0540008544922","53.7830009460449","57.1269989013672","59.2169990539551","57.8339996337891",
"American Samoa","ASM","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
