"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0410003662109","34.3660011291504","29.1490001678467","23.8010005950928","25.7409992218018","26.8269996643066","25.2549991607666","23.7819995880127","22.3560009002686","20.8990001678467","19.2800006866455","22.693000793457","25.6879997253418","25.1870002746582","25.6529998779297","26.2759990692139","27.4780006408691","27.9899997711182","30.3169994354248","31.8659992218018","32.4230003356934","33.7389984130859","33.9589996337891","33.7430000305176","33.3380012512207","33.1809997558594","33.0989990234375",
"Angola","AGO","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.023998260498","41.689998626709","45.5960006713867","45.7200012207031","45.9440002441406","46.6160011291504","47.117000579834","46.8650016784668","47.6529998779297","46.6199989318848","47.0289993286133","47.3689994812012","47.7400016784668","48.2109985351563","34.8860015869141","36.3079986572266","37.2179985046387","38.3720016479492","40.3520011901855","39.7569999694824","39.5929985046387","39.8390007019043","40.5429992675781","41.1049995422363","41.0299987792969","40.6220016479492","40.5349998474121",
"Albania","ALB","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4010009765625","39.8199996948242","31.625","31.1049995422363","32.2830009460449","31.8700008392334","40.6399993896484","32.7400016784668","31.576000213623","34.8300018310547","34.4990005493164","36.6500015258789","36.6920013427734","36.9469985961914","37.7319984436035","38.1720008850098","38.6949996948242","45.8919982910156","46.601001739502","48.4910011291504","42.1080017089844","40.0620002746582","42.9129981994629","42.1080017089844","39.8489990234375","39.5219993591309","39.3540000915527",
"Andorra","AND","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2764777774174","58.4051379115914","59.1831756003288","59.7566569674917","59.7142395108294","60.3305506829792","60.6747794377469","60.8140285326371","60.6005574473954","60.0335482482244","60.5860332952785","60.6221640664133","60.7903522475784","60.992233863481","61.8030906518247","63.9179350211308","63.9098804937731","65.099484376765","65.6134283091023","66.5195606009753","66.016053835774","66.9292660660242","67.0307325830536","67.1898209780776","67.8179598328149","69.0602012509864","69.0925790300486",
"United Arab Emirates","ARE","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.447998046875","95.6480026245117","95.6869964599609","96.6149978637695","96.620002746582","96.5910034179688","96.7220001220703","96.5970001220703","96.6809997558594","96.8460006713867","96.5630035400391","96.6719970703125","96.8580017089844","96.8539962768555","96.6360015869141","95.4749984741211","95.2239990234375","95.056999206543","94.8720016479492","95.7070007324219","95.6809997558594","95.6060028076172","95.890998840332","95.8320007324219","96.4420013427734","96.6569976806641","96.6669998168945",
"Argentina","ARG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.629997253418","68.7470016479492","67.2890014648438","69.0699996948242","67.9899978637695","68.5960006713867","69.6760025024414","69.9380035400391","70.1070022583008","69.6309967041016","68.8089981079102","67.0120010375977","69.9789962768555","71.0810012817383","71.4010009765625","72.3730010986328","73.1439971923828","73.1480026245117","72.931999206543","72.6790008544922","72.7239990234375","73.1589965820313","71.2089996337891","71.4970016479492","71.6230010986328","71.5800018310547","71.4000015258789",
"Armenia","ARM","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2050018310547","68.8399963378906","58.5839996337891","49.0559997558594","48.0279998779297","50.0750007629395","54.6590003967285","47.1780014038086","49.2470016479492","49.0429992675781","47.7039985656738","45.8860015869141","47.3380012512207","50.1349983215332","49.4599990844727","50.951000213623","51.6809997558594","56.3479995727539","60.443000793457","62.3240013122559","60.7099990844727","60.625","61.8629989624023","56.4780006408691","57.2459983825684","58.484001159668","57.3709983825684",
"American Samoa","ASM","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
